mission_id,launch_date,year,decade,country,rocket_name,rocket_operator,rocket_height_m,rocket_payload_leo_kg,rocket_reusable,rocket_status,launch_site,launch_site_country,launch_site_lat,launch_site_lon,mission_type,orbit_type,destination,payload_mass_kg,num_payloads,launch_mass_tonnes,apoapsis_km,periapsis_km,inclination_deg,outcome,mission_duration_days,crew_size,booster_recovered,estimated_cost_million_usd,cost_per_kg_payload
M001964,07-08-1985,1985,1980s,United States,New Glenn,Blue Origin,98,45000,1,Active,Vandenberg SLC-4,USA,34.74,-120.57,Communications/Telecom,GEO,GEO,1421,1,84.1,35786,35700,0,Success,,0,0,87.5,61576.35468
M001965,29-09-1985,1985,1980s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Communications/Telecom,GEO,GEO,1701,1,57.5,35786,35714,0,Success,,0,0,51.9,30511.46384
M001966,28-12-1985,1985,1980s,United States,Starship,SpaceX,120,150000,1,Active,Rocket Lab LC-2,USA,37.85,-75.49,Communications/Telecom,GEO,GEO,1707,1,70.8,35786,35604,0,Success,,0,0,51.2,29994.14177
M001967,02-05-1985,1985,1980s,China,Long March 7,CASC,53,13500,0,Active,Xichang Satellite Launch Center,China,28.25,102.03,Military/Reconnaissance,LEO,LEO,12965,1,744.5,591,301,94.9,Mission Failure,,0,0,193,14886.23216
M001968,23-12-1985,1985,1980s,United States,Titan II,USAF,31,3175,0,Retired,Kennedy Space Center LC-39B,USA,28.62,-80.62,Military/Reconnaissance,SSO,SSO,2836,1,137,612,599,98.9,Success,,0,0,50.9,17947.81382
M001969,28-07-1985,1985,1980s,Japan,Epsilon,JAXA,26,590,0,Active,Tanegashima Space Center,Japan,30.4,130.97,Military/Reconnaissance,SSO,SSO,590,1,18.3,524,500,97,Success,,0,0,129.7,219830.5085
M001970,22-10-1985,1985,1980s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Communications/Telecom,GEO,GEO,2027,1,99.2,35786,35608,0,Success,,0,0,173.3,85495.80661
M001971,19-02-1985,1985,1980s,United States,New Glenn,Blue Origin,98,45000,1,Active,Vandenberg SLC-4,USA,34.74,-120.57,Military/Reconnaissance,SSO,SSO,2199,1,75.7,613,603,98.9,Success,,0,0,62,28194.63392
M001972,02-03-1985,1985,1980s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Human Spaceflight,Lunar Transfer,Moon Surface,4541,1,201.8,,,8.9,Success,90,4,0,96.3,21206.78265
M001973,18-04-1985,1985,1980s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,LEO,LEO,500,1,26,403,355,46.8,Success,,0,0,100.3,200600
M001974,18-01-1985,1985,1980s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Technology Demo,LEO,LEO,998,1,58.6,358,222,66.7,Success,,0,0,86.5,86673.34669
M001975,20-05-1985,1985,1980s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Science/Astronomy,LEO,LEO,670,1,19.8,605,423,74.5,Success,,0,0,138.8,207164.1791
M001976,09-08-1985,1985,1980s,Japan,H-II,JAXA,50,10060,0,Retired,Tanegashima Space Center,Japan,30.4,130.97,Communications/Telecom,GEO,GEO,2994,1,123.9,35786,35753,0,Success,,0,0,86.8,28991.31597
M001977,07-09-1985,1985,1980s,Europe,Vega-C,Arianespace,35,2300,0,Active,Guiana Space Centre ELS,French Guiana,5.24,-52.77,Communications/Telecom,GEO,GEO,1571,1,64.1,35786,35795,0,Success,,0,0,50.3,32017.82304
M001978,10-07-1985,1985,1980s,Japan,Epsilon,JAXA,26,590,0,Active,Uchinoura Space Center,Japan,31.25,131.08,Military/Reconnaissance,LEO,LEO,590,1,29.7,420,287,86.5,Success,,0,0,109.8,186101.6949
M001979,19-01-1985,1985,1980s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,GEO,GEO,1455,1,37.7,35786,35791,0,Success,,0,0,194.1,133402.0619
M001980,05-12-1985,1985,1980s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Science/Astronomy,LEO,LEO,651,1,24,463,444,88.6,Success,,0,0,165.5,254224.2704
M001981,26-08-1985,1985,1980s,United States,Titan IV,USAF,62,21680,0,Retired,SpaceX Starbase,USA,25.99,-97.16,Earth Observation,LEO,Earth Orbit,621,1,34.9,510,332,70.4,Success,,0,0,149.1,240096.6184
M001982,29-08-1985,1985,1980s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Communications/Telecom,GEO,GEO,720,1,29.5,35786,35675,0,Success,,0,0,143.3,199027.7778
M001983,03-07-1985,1985,1980s,United States,Delta IV Heavy,ULA,72,28790,0,Retired,Cape Canaveral LC-40,USA,28.56,-80.58,Earth Observation,LEO,Earth Orbit,6083,1,256.9,487,340,46.2,Success,,0,0,301.9,49630.11672
M001984,08-11-1985,1985,1980s,United States,Titan IV,USAF,62,21680,0,Retired,Rocket Lab LC-2,USA,37.85,-75.49,Communications/Telecom,GEO,GEO,254,1,11.5,35786,35677,0,Success,,0,0,94.1,370472.4409
M001985,15-05-1985,1985,1980s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Human Spaceflight,Lunar Transfer,Moon Surface,500,1,14.7,,,34.3,Success,14,4,0,177,354000
M001986,08-02-1985,1985,1980s,N.Korea,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Kennedy Space Center LC-39B,USA,28.62,-80.62,Earth Observation,LEO,Earth Orbit,833,1,24.6,587,575,53.5,Success,,0,0,100.1,120168.0672
M001987,23-10-1985,1985,1980s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,SSO,SSO,1167,2,34.1,623,620,98.1,Success,,0,0,71.3,61096.82948
M001988,26-11-1985,1985,1980s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Science/Astronomy,LEO,Earth Orbit,1714,1,62.3,591,560,79.9,Success,,0,0,162.8,94982.49708
M001989,20-10-1985,1985,1980s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,SSO,SSO,1159,1,48.5,760,736,98.9,Success,,0,0,85,73339.08542
M001990,12-01-1985,1985,1980s,China,Long March 6,CASC,29,1080,0,Active,Wenchang Space Launch Center,China,19.61,110.95,Human Spaceflight,Lunar Transfer,Lunar Orbit,1080,1,54.3,,,87.4,Success,14,3,0,127.6,118148.1481
M001991,15-12-1985,1985,1980s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Human Spaceflight,LEO,LEO,5032,1,229.2,480,290,80.4,Success,90,5,0,174,34578.69634
M001992,06-05-1985,1985,1980s,Europe,Ariane 5,Arianespace,54,20000,0,Retired,Guiana Space Centre ELS,French Guiana,5.24,-52.77,Earth Observation,LEO,Earth Orbit,3938,1,218.9,547,343,42.5,Success,,0,0,184.3,46800.4063
M001993,11-04-1985,1985,1980s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Communications/Telecom,GEO,GEO,7080,1,191.9,35786,35750,0,Success,,0,0,90.3,12754.23729
M001994,16-11-1985,1985,1980s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Earth Observation,LEO,Earth Orbit,2853,1,110.3,521,209,90.3,Success,,0,0,194.6,68208.90291
M001995,17-06-1985,1985,1980s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,LEO,LEO,391,1,17.7,439,297,45,Success,,0,0,118.5,303069.0537
M001996,08-10-1985,1985,1980s,India,GSLV,ISRO,49,5000,0,Active,Satish Dhawan Space Centre,India,13.73,80.24,Military/Reconnaissance,GEO,GEO,5000,1,246,35786,35606,0,Success,,0,0,86.9,17380
M001997,21-01-1985,1985,1980s,United States,Falcon 9,SpaceX,70,22800,1,Active,Kennedy Space Center LC-39B,USA,28.62,-80.62,Human Spaceflight,LEO,LEO,11135,1,374.9,645,500,49.2,Success,14,6,0,69.8,6268.522676
M001998,19-11-1985,1985,1980s,United States,Saturn V,NASA,111,140000,0,Retired,Cape Canaveral LC-41,USA,28.58,-80.58,Communications/Telecom,GEO,GEO,1524,1,58.4,35786,35738,0,Success,,0,0,185,121391.0761
M001999,14-10-1985,1985,1980s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Navigation/GPS,LEO,MEO,500,1,17.1,498,378,95.2,Success,,0,0,164.5,329000
M002000,07-11-1985,1985,1980s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Earth Observation,LEO,Earth Orbit,2212,1,88.1,442,434,53.1,Success,,0,0,125.3,56645.56962
M002001,14-02-1986,1986,1980s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,GEO,GEO,1432,2,73.1,35786,35613,0,Success,,0,0,123.1,85963.68715
M002002,01-07-1986,1986,1980s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Earth Observation,LEO,Earth Orbit,483,1,17,448,290,64.7,Success,,0,0,100.1,207246.3768
M002003,30-07-1986,1986,1980s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,GEO,GEO,688,1,37.7,35786,35628,0,Success,,0,0,178.5,259447.6744
M002004,29-04-1986,1986,1980s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,LEO,LEO,711,1,21.1,513,283,89.5,Success,,0,0,166.4,234036.5682
M002005,05-12-1986,1986,1980s,China,Long March 7,CASC,53,13500,0,Active,Taiyuan Satellite Launch Center,China,38.85,111.61,Technology Demo,LEO,LEO,5143,1,249.6,480,334,81.2,Success,,0,0,165,32082.44215
M002006,28-09-1986,1986,1980s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Weather/Meteorology,SSO,SSO,459,1,23.6,738,711,97.9,Success,,0,0,140.9,306971.6776
M002007,12-06-1986,1986,1980s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Weather/Meteorology,LEO,LEO,840,1,30.1,457,246,80.1,Success,,0,0,75.2,89523.80952
M002008,29-06-1986,1986,1980s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Science/Astronomy,LEO,Earth Orbit,3399,1,161.1,357,345,72.4,Success,,0,0,82.4,24242.42424
M002009,10-02-1986,1986,1980s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,SSO,SSO,500,1,25.7,678,669,98.2,Success,,0,0,176.8,353600
M002010,22-08-1986,1986,1980s,United States,Falcon Heavy,SpaceX,70,63800,1,Active,Cape Canaveral LC-41,USA,28.58,-80.58,Military/Reconnaissance,LEO,LEO,4766,2,142.3,436,282,87.3,Success,,0,0,148.1,31074.27612
M002011,01-05-1986,1986,1980s,United States,Falcon 9,SpaceX,70,22800,1,Active,SpaceX Starbase,USA,25.99,-97.16,Military/Reconnaissance,LEO,LEO,4608,1,169.1,437,433,70.9,Partial Failure,,0,0,71.8,15581.59722
M002012,04-04-1986,1986,1980s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Technology Demo,LEO,LEO,484,1,19.9,432,232,78.8,Partial Failure,,0,0,73.6,152066.1157
M002013,26-08-1986,1986,1980s,United States,Vulcan Centaur,ULA,61,27200,0,Active,Rocket Lab LC-2,USA,37.85,-75.49,Military/Reconnaissance,LEO,LEO,1346,1,79,438,429,42.6,Success,,0,0,180,133729.5691
M002014,09-04-1986,1986,1980s,New Zealand,Vostok,OKB-1,38,4730,0,Retired,SpaceX Starbase,USA,25.99,-97.16,Communications/Telecom,GEO,GEO,1962,1,83.3,35786,35648,0,Success,,0,0,140.7,71712.53823
M002015,19-06-1986,1986,1980s,China,Long March 9,CASC,110,140000,0,Development,Jiuquan Satellite Launch Center,China,40.96,100.29,Weather/Meteorology,SSO,SSO,4783,1,221.7,709,681,97.2,Success,,0,0,135.2,28266.77817
M002016,06-07-1986,1986,1980s,United States,Neutron,Rocket Lab,40,13000,1,Active,Cape Canaveral LC-40,USA,28.56,-80.58,Military/Reconnaissance,SSO,SSO,3679,1,108.4,731,727,98.5,Launch Failure,,0,0,107.5,29219.89671
M002017,03-08-1986,1986,1980s,United States,Neutron,Rocket Lab,40,13000,1,Active,Cape Canaveral LC-41,USA,28.58,-80.58,Communications/Telecom,GEO,GEO,2174,1,111,35786,35661,0,Success,,0,0,131.4,60441.58234
M002018,18-12-1986,1986,1980s,United States,Starship,SpaceX,120,150000,1,Active,Rocket Lab LC-2,USA,37.85,-75.49,Communications/Telecom,GEO,GEO,428,1,11.8,35786,35650,0,Success,,0,0,43.8,102336.4486
M002019,12-08-1986,1986,1980s,United States,Starship,SpaceX,120,150000,1,Active,Vandenberg SLC-4,USA,34.74,-120.57,Earth Observation,LEO,Earth Orbit,650,2,35.6,397,378,75,Success,,0,0,61.6,94769.23077
M002020,17-01-1986,1986,1980s,China,Long March 4,CASC,45,4200,0,Active,Taiyuan Satellite Launch Center,China,38.85,111.61,Human Spaceflight,ISS Docking,ISS,4200,1,241,439,322,52,Success,7,3,0,160.8,38285.71429
M002021,20-01-1986,1986,1980s,China,Zhuque-2,LandSpace,49,6000,0,Active,Jiuquan Satellite Launch Center,China,40.96,100.29,Communications/Telecom,GEO,GEO,1278,1,49.1,35786,35734,0,Success,,0,0,78.7,61580.59468
M002022,04-09-1986,1986,1980s,United States,Delta IV Heavy,ULA,72,28790,0,Retired,Cape Canaveral LC-41,USA,28.58,-80.58,Weather/Meteorology,SSO,SSO,6683,1,400.2,781,768,97.8,Success,,0,0,313.7,46939.99701
M002023,11-12-1986,1986,1980s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Weather/Meteorology,GEO,GEO,992,1,47.5,35786,35720,0,Success,,0,0,116.8,117741.9355
M002024,12-06-1986,1986,1980s,United States,Vulcan Centaur,ULA,61,27200,0,Active,Blue Origin Launch Site One,USA,31.42,-104.76,Earth Observation,LEO,Earth Orbit,2602,1,152.1,555,213,94.8,Success,,0,0,143.6,55188.31668
M002025,11-10-1986,1986,1980s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,GEO,GEO,2189,1,108,35786,35623,0,Success,,0,0,160.4,73275.46825
M002026,29-03-1986,1986,1980s,United States,Delta IV Heavy,ULA,72,28790,0,Retired,Rocket Lab LC-2,USA,37.85,-75.49,Communications/Telecom,GEO,GEO,4334,1,146.7,35786,35618,0,Partial Failure,,0,0,174,40147.66959
M002027,06-12-1986,1986,1980s,China,Kuaizhou-1A,CASIC,20,300,0,Active,Jiuquan Satellite Launch Center,China,40.96,100.29,Weather/Meteorology,GEO,GEO,300,1,18,35786,35633,0,Success,,0,0,173.4,578000
M002028,05-05-1986,1986,1980s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Communications/Telecom,GEO,GEO,608,1,25.2,35786,35709,0,Success,,0,0,96,157894.7368
M002029,19-03-1986,1986,1980s,United States,Falcon Heavy,SpaceX,70,63800,1,Active,Blue Origin Launch Site One,USA,31.42,-104.76,Technology Demo,LEO,LEO,2249,2,85.8,486,254,85.8,Success,,0,0,103.3,45931.52512
M002030,10-07-1986,1986,1980s,Europe,Vega-C,Arianespace,35,2300,0,Active,Guiana Space Centre ELA-3,French Guiana,5.24,-52.77,Human Spaceflight,LEO,LEO,2300,1,61.5,382,376,28.8,Launch Failure,7,3,0,122.7,53347.82609
M002031,02-11-1986,1986,1980s,United States,Neutron,Rocket Lab,40,13000,1,Active,Cape Canaveral LC-40,USA,28.56,-80.58,Communications/Telecom,GEO,GEO,1329,1,71.9,35786,35763,0,Success,,0,0,164.1,123476.298
M002032,06-10-1986,1986,1980s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Communications/Telecom,GEO,GEO,500,1,18.1,35786,35798,0,Success,,0,0,163.8,327600
M002033,31-07-1986,1986,1980s,United States,Titan II,USAF,31,3175,0,Retired,SpaceX Starbase,USA,25.99,-97.16,Science/Astronomy,LEO,Earth Orbit,2902,1,142.4,585,321,45.7,Success,,0,0,69.8,24052.37767
M002034,03-08-1986,1986,1980s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Weather/Meteorology,LEO,LEO,5171,1,146.1,605,381,43.4,Success,,0,0,112.3,21717.26939
M002035,01-03-1986,1986,1980s,United States,Starship,SpaceX,120,150000,1,Active,Cape Canaveral LC-39A,USA,28.61,-80.6,Technology Demo,LEO,LEO,1784,1,89.9,459,361,56.7,Success,,0,0,45.7,25616.59193
M002036,02-08-1986,1986,1980s,China,Long March 9,CASC,110,140000,0,Development,Jiuquan Satellite Launch Center,China,40.96,100.29,Earth Observation,LEO,Earth Orbit,1082,1,27.5,396,295,41.3,Success,,0,0,192.8,178188.5397
M002037,28-01-1986,1986,1980s,China,Long March 4,CASC,45,4200,0,Active,Xichang Satellite Launch Center,China,28.25,102.03,Earth Observation,LEO,Earth Orbit,3511,1,166.4,584,200,52.5,Success,,0,0,84.1,23953.28966
M002038,04-04-1986,1986,1980s,United States,Saturn V,NASA,111,140000,0,Retired,SpaceX Starbase,USA,25.99,-97.16,Military/Reconnaissance,GEO,GEO,1824,1,90.4,35786,35608,0,Success,,0,0,185,101425.4386
M002039,18-12-1986,1986,1980s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Technology Demo,LEO,LEO,2057,1,92.7,422,220,32.4,Success,,0,0,176.3,85707.34079
M002040,15-10-1986,1986,1980s,United States,Space Shuttle,NASA,56,27500,1,Retired,Cape Canaveral LC-39A,USA,28.61,-80.6,Science/Astronomy,LEO,Earth Orbit,1114,1,62.3,517,280,89.4,Success,,0,0,150,134649.9102
M002041,29-07-1986,1986,1980s,United States,Starship,SpaceX,120,150000,1,Active,Cape Canaveral LC-39A,USA,28.61,-80.6,Technology Demo,LEO,LEO,506,1,19.6,604,324,56.6,Success,,0,0,60.6,119762.8458
M002042,27-03-1986,1986,1980s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Technology Demo,LEO,LEO,464,1,15.2,476,234,75.9,Success,,0,0,59.7,128663.7931
M002043,10-02-1986,1986,1980s,China,Long March 9,CASC,110,140000,0,Development,Wenchang Space Launch Center,China,19.61,110.95,Earth Observation,LEO,Earth Orbit,4836,1,165.4,362,309,35.7,Success,,0,0,144.5,29880.06617
M002044,28-08-1986,1986,1980s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Weather/Meteorology,SSO,SSO,1491,1,54.6,761,740,98.7,Success,,0,0,130.3,87391.01274
M002045,05-08-1986,1986,1980s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Technology Demo,LEO,LEO,1487,1,84.2,429,282,58.5,Success,,0,0,126.5,85070.61197
M002046,20-03-1986,1986,1980s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Science/Astronomy,LEO,Earth Orbit,3232,1,105.5,564,532,69.1,Success,,0,0,119,36819.30693
M002047,11-01-1986,1986,1980s,United States,Delta II,Boeing/ULA,39,6100,0,Retired,Blue Origin Launch Site One,USA,31.42,-104.76,Earth Observation,LEO,Earth Orbit,1125,2,41.4,557,366,46.8,Success,,0,0,193.6,172088.8889
M002048,23-06-1986,1986,1980s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,GEO,GEO,500,1,26.1,35786,35649,0,Success,,0,0,130.8,261600
M002049,27-09-1986,1986,1980s,United States,Electron,Rocket Lab,18,300,1,Active,Vandenberg SLC-4,USA,34.74,-120.57,Earth Observation,LEO,Earth Orbit,263,1,12.7,627,299,66.7,Success,,0,0,7.2,27376.42586
M002050,30-06-1986,1986,1980s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,LEO,LEO,2708,1,79,542,358,36.7,Success,,0,0,83.4,30797.63663
M002051,19-02-1986,1986,1980s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Communications/Telecom,GEO,GEO,300,1,12.4,35786,35700,0,Success,,0,0,94.8,316000
M002052,11-10-1986,1986,1980s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Human Spaceflight,ISS Docking,ISS,8049,1,302.8,420,261,51.1,Success,365,4,0,147.9,18374.95341
M002053,05-01-1986,1986,1980s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Weather/Meteorology,SSO,SSO,500,1,16.6,542,537,97.7,Success,,0,0,100,200000
M002054,27-01-1986,1986,1980s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Human Spaceflight,ISS Docking,ISS,500,1,27.6,646,474,51.2,Success,7,5,0,76.4,152800
M002055,12-09-1986,1986,1980s,United States,Atlas V,ULA,59,18850,0,Retired,Cape Canaveral LC-40,USA,28.56,-80.58,Earth Observation,LEO,Earth Orbit,7106,1,356.7,385,222,79.4,Launch Failure,,0,0,318.7,44849.42302
M002056,14-04-1986,1986,1980s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,GEO,GEO,1329,1,56.6,35786,35655,0,Success,,0,0,145.2,109255.079
M002057,25-08-1986,1986,1980s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Communications/Telecom,GEO,GEO,7080,1,414.1,35786,35780,0,Success,,0,0,80.5,11370.0565
M002058,09-10-1986,1986,1980s,China,Long March 3,CASC,54,8500,0,Active,Xichang Satellite Launch Center,China,28.25,102.03,Military/Reconnaissance,LEO,LEO,5736,1,235.2,542,371,50.5,Launch Failure,,0,0,56.2,9797.76848
M002059,28-10-1986,1986,1980s,Japan,Epsilon,JAXA,26,590,0,Active,Uchinoura Space Center,Japan,31.25,131.08,Science/Astronomy,LEO,Earth Orbit,590,1,30.3,399,378,62.5,Success,,0,0,54.9,93050.84746
M002060,27-05-1986,1986,1980s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Technology Demo,LEO,LEO,500,1,29.3,543,358,92.5,Success,,0,0,58,116000
M002061,07-04-1986,1986,1980s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Communications/Telecom,GEO,GEO,500,1,25,35786,35785,0,Success,,0,0,87.8,175600
M002062,17-03-1986,1986,1980s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,SSO,SSO,4357,1,166.5,473,448,97.7,Success,,0,0,139,31902.68533
M002063,21-08-1986,1986,1980s,China,Long March 2,CASC,43,8400,0,Active,Xichang Satellite Launch Center,China,28.25,102.03,Communications/Telecom,GEO,GEO,5057,1,155.7,35786,35709,0,Success,,0,0,155.9,30828.55448
M002064,24-09-1986,1986,1980s,United States,Neutron,Rocket Lab,40,13000,1,Active,Cape Canaveral LC-39A,USA,28.61,-80.6,Earth Observation,LEO,Earth Orbit,4717,1,202.7,602,255,47.2,Success,,0,0,198.7,42124.2315
M002065,23-10-1986,1986,1980s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Earth Observation,LEO,Earth Orbit,500,1,13.9,614,272,30.4,Success,,0,0,199,398000
M002066,15-01-1986,1986,1980s,United States,Vulcan Centaur,ULA,61,27200,0,Active,Blue Origin Launch Site One,USA,31.42,-104.76,Science/Astronomy,LEO,Earth Orbit,1379,1,58.4,408,292,85,Success,,0,0,120.2,87164.61204
M002067,07-12-1986,1986,1980s,United States,Space Shuttle,NASA,56,27500,1,Retired,Cape Canaveral LC-41,USA,28.58,-80.58,Earth Observation,LEO,Earth Orbit,3301,1,122.8,437,379,47.3,Success,,0,0,175.5,53165.70736
M002068,19-05-1986,1986,1980s,Europe,Ariane 5,Arianespace,54,20000,0,Retired,Guiana Space Centre ELA-3,French Guiana,5.24,-52.77,Technology Demo,LEO,LEO,4658,1,137.7,595,591,47.1,Success,,0,0,182.7,39222.84242
M002069,29-06-1986,1986,1980s,United States,Delta IV Heavy,ULA,72,28790,0,Retired,Rocket Lab LC-2,USA,37.85,-75.49,Communications/Telecom,GEO,GEO,3482,2,145.4,35786,35609,0,Success,,0,0,208,59735.78403
M002070,12-03-1986,1986,1980s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,SSO,SSO,500,1,22.9,609,584,98.6,Success,,0,0,173.6,347200
M002071,03-01-1986,1986,1980s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,GEO,GEO,799,2,47,35786,35678,0,Success,,0,0,85.5,107008.761
M002072,26-11-1986,1986,1980s,United States,Falcon Heavy,SpaceX,70,63800,1,Active,SpaceX Starbase,USA,25.99,-97.16,Human Spaceflight,ISS Docking,ISS,9521,1,426.1,556,231,51.6,Success,14,4,0,101.3,10639.63869
M002073,12-05-1986,1986,1980s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Science/Astronomy,LEO,L2 Halo,500,1,17.3,396,313,33.6,Success,,0,0,148.7,297400
M002074,14-11-1986,1986,1980s,United States,Starship,SpaceX,120,150000,1,Active,Cape Canaveral LC-41,USA,28.58,-80.58,Communications/Telecom,GEO,GEO,2797,2,148.9,35786,35665,0,Success,,0,0,45.5,16267.42939
